SystemCodeNumber,Capacity,Occupancy,LastUpdated,OccupancyRate,Date,Time,DayOfWeek,Hour
BHMBCCMKT01,577,61,2016-10-04 07:59:42,10.571923743500866,2016-10-04,07:59:42,Tue,7
BHMBCCMKT01,577,64,2016-10-04 08:25:42,11.091854419410746,2016-10-04,08:25:42,Tue,8
BHMBCCMKT01,577,80,2016-10-04 08:59:42,13.864818024263432,2016-10-04,08:59:42,Tue,8
BHMBCCMKT01,577,107,2016-10-04 09:32:46,18.54419410745234,2016-10-04,09:32:46,Tue,9
BHMBCCMKT01,577,150,2016-10-04 09:59:48,25.996533795493935,2016-10-04,09:59:48,Tue,9
BHMBCCMKT01,577,177,2016-10-04 10:26:49,30.67590987868284,2016-10-04,10:26:49,Tue,10
BHMBCCMKT01,577,219,2016-10-04 10:59:48,37.954939341421145,2016-10-04,10:59:48,Tue,10
BHMBCCMKT01,577,247,2016-10-04 11:25:47,42.80762564991335,2016-10-04,11:25:47,Tue,11
BHMBCCMKT01,577,259,2016-10-04 11:59:44,44.88734835355286,2016-10-04,11:59:44,Tue,11
BHMBCCMKT01,577,266,2016-10-04 12:29:45,46.10051993067591,2016-10-04,12:29:45,Tue,12
BHMBCCMKT01,577,269,2016-10-04 13:02:48,46.62045060658579,2016-10-04,13:02:48,Tue,13
BHMBCCMKT01,577,263,2016-10-04 13:29:45,45.58058925476603,2016-10-04,13:29:45,Tue,13
BHMBCCMKT01,577,238,2016-10-04 14:02:47,41.247833622183705,2016-10-04,14:02:47,Tue,14
BHMBCCMKT01,577,215,2016-10-04 14:29:49,37.26169844020797,2016-10-04,14:29:49,Tue,14
BHMBCCMKT01,577,192,2016-10-04 14:57:13,33.27556325823224,2016-10-04,14:57:13,Tue,14
BHMBCCMKT01,577,165,2016-10-04 15:30:14,28.596187175043326,2016-10-04,15:30:14,Tue,15
BHMBCCMKT01,577,162,2016-10-04 16:04:12,28.07625649913345,2016-10-04,16:04:12,Tue,16
BHMBCCMKT01,577,143,2016-10-04 16:31:14,24.783362218370883,2016-10-04,16:31:14,Tue,16
BHMBCCMKT01,577,54,2016-10-05 07:57:17,9.358752166377815,2016-10-05,07:57:17,Wed,7
BHMBCCMKT01,577,59,2016-10-05 08:30:15,10.225303292894282,2016-10-05,08:30:15,Wed,8
BHMBCCMKT01,577,71,2016-10-05 09:04:19,12.305025996533795,2016-10-05,09:04:19,Wed,9
BHMBCCMKT01,577,83,2016-10-05 09:30:15,14.38474870017331,2016-10-05,09:30:15,Wed,9
BHMBCCMKT01,577,114,2016-10-05 10:04:15,19.75736568457539,2016-10-05,10:04:15,Wed,10
BHMBCCMKT01,577,128,2016-10-05 10:30:17,22.18370883882149,2016-10-05,10:30:17,Wed,10
BHMBCCMKT01,577,148,2016-10-05 11:04:19,25.64991334488735,2016-10-05,11:04:19,Wed,11
BHMBCCMKT01,577,162,2016-10-05 11:30:18,28.07625649913345,2016-10-05,11:30:18,Wed,11
BHMBCCMKT01,577,178,2016-10-05 12:04:14,30.849220103986134,2016-10-05,12:04:14,Wed,12
BHMBCCMKT01,577,183,2016-10-05 12:30:16,31.7157712305026,2016-10-05,12:30:16,Wed,12
BHMBCCMKT01,577,175,2016-10-05 12:57:15,30.329289428076258,2016-10-05,12:57:15,Wed,12
BHMBCCMKT01,577,179,2016-10-05 13:30:19,31.022530329289427,2016-10-05,13:30:19,Wed,13
BHMBCCMKT01,577,174,2016-10-05 13:57:20,30.155979202772965,2016-10-05,13:57:20,Wed,13
BHMBCCMKT01,577,158,2016-10-05 14:30:17,27.383015597920277,2016-10-05,14:30:17,Wed,14
BHMBCCMKT01,577,145,2016-10-05 14:57:19,25.12998266897747,2016-10-05,14:57:19,Wed,14
BHMBCCMKT01,577,129,2016-10-05 15:30:15,22.357019064124785,2016-10-05,15:30:15,Wed,15
BHMBCCMKT01,577,121,2016-10-05 16:04:18,20.97053726169844,2016-10-05,16:04:18,Wed,16
BHMBCCMKT01,577,114,2016-10-05 16:30:17,19.75736568457539,2016-10-05,16:30:17,Wed,16
BHMBCCMKT01,577,58,2016-10-06 07:57:25,10.051993067590988,2016-10-06,07:57:25,Thu,7
BHMBCCMKT01,577,63,2016-10-06 08:30:20,10.918544194107453,2016-10-06,08:30:20,Thu,8
BHMBCCMKT01,577,70,2016-10-06 08:57:22,12.131715771230503,2016-10-06,08:57:22,Thu,8
BHMBCCMKT01,577,95,2016-10-06 09:30:20,16.464471403812826,2016-10-06,09:30:20,Thu,9
BHMBCCMKT01,577,135,2016-10-06 10:03:20,23.39688041594454,2016-10-06,10:03:20,Thu,10
BHMBCCMKT01,577,160,2016-10-06 10:30:20,27.729636048526864,2016-10-06,10:30:20,Thu,10
BHMBCCMKT01,577,177,2016-10-06 10:57:20,30.67590987868284,2016-10-06,10:57:20,Thu,10
BHMBCCMKT01,577,191,2016-10-06 11:30:22,33.10225303292894,2016-10-06,11:30:22,Thu,11
BHMBCCMKT01,577,199,2016-10-06 12:04:24,34.48873483535529,2016-10-06,12:04:24,Thu,12
BHMBCCMKT01,577,206,2016-10-06 12:30:24,35.70190641247834,2016-10-06,12:30:24,Thu,12
